,answers,count
4,Following,66.16915422885572
2,"Unwanted digital communication: email, messages, Audio/Video messages, etc",61.49253731343284
1,Loitering nearby,56.517412935323385
0,Unwanted telephone calls,52.13930348258706
9,Defamation or spread of personal information,47.66169154228856
5,Approach via a third party,44.37810945273632
3,Location tracking (through Bluetooth tracker or other means),44.27860696517413
13,Verbal violence,41.89054726368159
10,Threats,40.69651741293532
6,Damage of property,30.049751243781092
7,Invading at home,27.46268656716418
11,Physical contact,26.76616915422886
12,Physical violence,19.900497512437813
14,Sexual harassment,17.611940298507463
8,Placing orders under your name,15.422885572139302
15,Sexual assaults,12.139303482587065
16,Other,11.641791044776118
